GREB1L	ENSG00000141449
NQO2	ENSG00000124588
METRNL	ENSG00000275031
CR1	ENSG00000203710
CRISPLD2	ENSG00000103196
AOX1	ENSG00000138356
SPTB	ENSG00000070182
GSDMB	ENSG00000073605
SAMD4A	ENSG00000020577
IL1R1	ENSG00000115594
MAP2K3	ENSG00000034152
OSMR	ENSG00000145623
PDZRN4	ENSG00000165966
PRSS1	ENSG00000274247
REEP2	ENSG00000132563
ACSS1	ENSG00000154930
IL6	ENSG00000136244
TNFRSF10D	ENSG00000173530
MSR1	ENSG00000038945
GCLM	ENSG00000023909
CCL18	ENSG00000278006
LNX1	ENSG00000072201
SBNO2	ENSG00000278788
MFAP5	ENSG00000197614
PROCR	ENSG00000101000
FCGBP	ENSG00000275395
MT1M	ENSG00000205364
VASN	ENSG00000274334
DPP4	ENSG00000197635
F2RL3	ENSG00000127533
CREB3L2	ENSG00000182158
SLC25A25	ENSG00000148339
SHB	ENSG00000107338
APOB	ENSG00000084674
CITED2	ENSG00000164442
IER3	ENSG00000237155
LILRB5	ENSG00000105609
DUSP8	ENSG00000184545
SLC25A44	ENSG00000160785
TOP2A	ENSG00000131747
AFF2	ENSG00000281817
ZC3H12A	ENSG00000163874
CCL18	ENSG00000278167
LILRB5	ENSG00000274311
USP9Y	ENSG00000114374
GVINP1	ENSG00000254838
LILRA5	ENSG00000278355
PFKP	ENSG00000067057
GPD1L	ENSG00000152642
EPB41L3	ENSG00000082397
MAT2A	ENSG00000168906
TUBB3	ENSG00000198211
HBEGF	ENSG00000113070
TUBB3	ENSG00000258947
SLC4A7	ENSG00000033867
SLA	ENSG00000155926
TXN	ENSG00000136810
DDX21	ENSG00000165732
LRRC59	ENSG00000108829
GYG2	ENSG00000056998
CCL13	ENSG00000181374
PDPN	ENSG00000162493
IER3	ENSG00000230128
PER2	ENSG00000132326
DUSP14	ENSG00000275932
XIST	ENSG00000229807
RGCC	ENSG00000102760
ZNF366	ENSG00000178175
CCND2	ENSG00000118971
ADGRE5	ENSG00000123146
ALOX5AP	ENSG00000132965
ADAMTS9	ENSG00000163638
COLEC12	ENSG00000158270
CCND1	ENSG00000110092
WNT2	ENSG00000105989
PERP	ENSG00000112378
PLAUR	ENSG00000011422
HIF1A	ENSG00000100644
ARL4A	ENSG00000122644
IER3	ENSG00000227231
MIR143HG	ENSG00000249669
MT1A	ENSG00000205362
ANPEP	ENSG00000166825
RNF125	ENSG00000101695
ITPKC	ENSG00000086544
CD14	ENSG00000170458
PRODH	ENSG00000100033
NTN1	ENSG00000065320
LRRN4CL	ENSG00000177363
SH3TC1	ENSG00000125089
PXDC1	ENSG00000168994
WNT9A	ENSG00000143816
S1PR3	ENSG00000213694
UPP1	ENSG00000183696
AFF2	ENSG00000155966
CCR1	ENSG00000163823
PLEKHG3	ENSG00000126822
TNNC1	ENSG00000114854
FLNC	ENSG00000128591
MSX1	ENSG00000163132
SFRP4	ENSG00000106483
TUBB2A	ENSG00000137267
THBS4	ENSG00000113296
RASD1	ENSG00000108551
PAIP2B	ENSG00000124374
FNDC4	ENSG00000115226
ADAMTS1	ENSG00000154734
BTNL9	ENSG00000165810
IGFBP6	ENSG00000167779
HIST1H3B	ENSG00000274267
LRRC32	ENSG00000137507
TNFRSF12A	ENSG00000006327
SH3BGRL3	ENSG00000142669
EFHD2	ENSG00000142634
ETS2	ENSG00000157557
HOXB6	ENSG00000108511
IER3	ENSG00000137331
CD276	ENSG00000103855
PHLDA1	ENSG00000139289
CHSY1	ENSG00000131873
CYR61	ENSG00000142871
EMP1	ENSG00000134531
SLC7A5	ENSG00000103257
REEP6	ENSG00000115255
CFB	ENSG00000239754
SAT1	ENSG00000130066
SLC4A1	ENSG00000004939
