Gene Group 1	Enrichment Score:  11.796466369732563
ID	Gene Name
SMOC2	SPARC related modular calcium binding 2
APOL4	apolipoprotein L, 4
DKK3	dickkopf homolog 3 (Xenopus laevis)
METRNL	meteorin, glial cell differentiation regulator-like; similar to meteorin, glial cell differentiation regulator-like
CTHRC1	collagen triple helix repeat containing 1
ECM1	extracellular matrix protein 1
MYOC	myocilin, trabecular meshwork inducible glucocorticoid response
SPOCK2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2
SFRP4	secreted frizzled-related protein 4
ANGPTL4	angiopoietin-like 4
EMILIN2	elastin microfibril interfacer 2
FSTL3	follistatin-like 3 (secreted glycoprotein)
DEFB132	defensin, beta 132
CRHBP	corticotropin releasing hormone binding protein
MFAP5	microfibrillar associated protein 5
FJX1	four jointed box 1 (Drosophila)
STC1	stanniocalcin 1
FGL2	fibrinogen-like 2

Gene Group 2	Enrichment Score:  6.844647234441989
ID	Gene Name
SLCO4A1	solute carrier organic anion transporter family, member 4A1
GPR132	G protein-coupled receptor 132
B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5
IER3, IER3	immediate early response 3
SCARA5	scavenger receptor class A, member 5 (putative)
B4GALT5	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5
IL18RAP	interleukin 18 receptor accessory protein
LRRC32	leucine rich repeat containing 32
PTPRD	protein tyrosine phosphatase, receptor type, D
ZDHHC9	zinc finger, DHHC-type containing 9
REEP6	receptor accessory protein 6
ITGA11	integrin, alpha 11
SLC4A1	solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)
IL1RL1	interleukin 1 receptor-like 1
F2RL3	coagulation factor II (thrombin) receptor-like 3
CLEC3B	C-type lectin domain family 3, member B
CD248	CD248 molecule, endosialin
ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)
CADM3	cell adhesion molecule 3
SLCO2B1	solute carrier organic anion transporter family, member 2B1
FCAR	Fc fragment of IgA, receptor for
SLC4A4	solute carrier family 4, sodium bicarbonate cotransporter, member 4
CCR1	chemokine (C-C motif) receptor 1
ZDHHC11	zinc finger, DHHC-type containing 11
HCAR2	niacin receptor 2; niacin receptor 1
LRRN4CL	LRRN4 C-terminal like
ITPRIP	inositol 1,4,5-triphosphate receptor interacting protein
XYLT1	xylosyltransferase I
AZGP1	alpha-2-glycoprotein 1, zinc-binding pseudogene 1; alpha-2-glycoprotein 1, zinc-binding
LHFPL2	lipoma HMGIC fusion partner-like 2
RELT	RELT tumor necrosis factor receptor
MARCO	macrophage receptor with collagenous structure
RSAD2	radical S-adenosyl methionine domain containing 2
LILRB5	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5
NRG2	neuregulin 2
COLEC12	collectin sub-family member 12
TNFAIP6	tumor necrosis factor, alpha-induced protein 6
SLC39A14	solute carrier family 39 (zinc transporter), member 14
FAT3	FAT tumor suppressor homolog 3 (Drosophila)
ACKR1	Duffy blood group, chemokine receptor
VMP1	transmembrane protein 49
ABI3BP	ABI family, member 3 (NESH) binding protein
C5AR1	complement component 5a receptor 1
PKD1L1	polycystic kidney disease 1 like 1
MSR1	macrophage scavenger receptor 1
VASN	vasorin
HAS2	hyaluronan synthase 2
CHODL	chondrolectin
ADGRD1	G protein-coupled receptor 133
FPR1	formyl peptide receptor 1
AQP3	aquaporin 3 (Gill blood group)
SLC7A5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5
SLC7A1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1
ADGRG3	G protein-coupled receptor 97
SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
SLC20A1	solute carrier family 20 (phosphate transporter), member 1
CYSLTR2	cysteinyl leukotriene receptor 2
CD300E	CD300e molecule
PCDH12	protocadherin 12
NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2
BDKRB2	bradykinin receptor B2
MYADM	myeloid-associated differentiation marker
RRP12	ribosomal RNA processing 12 homolog (S. cerevisiae)
EMP1	epithelial membrane protein 1
SHISA6	FLJ45455 protein
PTPRE	protein tyrosine phosphatase, receptor type, E
TNFRSF10D	tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain
FNDC4	fibronectin type III domain containing 4
KCNQ3	potassium voltage-gated channel, KQT-like subfamily, member 3
PKD1L2	polycystic kidney disease 1-like 2
PTGFRN	prostaglandin F2 receptor negative regulator
LRRC59	leucine rich repeat containing 59
HBEGF	heparin-binding EGF-like growth factor
LYVE1	lymphatic vessel endothelial hyaluronan receptor 1
GALNT12	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12)
CD276	CD276 molecule
PTPN1	protein tyrosine phosphatase, non-receptor type 1
SEMA4A	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A
S1PR3	sphingosine-1-phosphate receptor 3
IL1R1	interleukin 1 receptor, type I
NCR3LG1	hypothetical protein DKFZp686O24166
EMP3	epithelial membrane protein 3
IL4R	interleukin 4 receptor
SCN4B	sodium channel, voltage-gated, type IV, beta
GREB1L	KIAA1772
SCARA3	scavenger receptor class A, member 3
PROCR	protein C receptor, endothelial (EPCR)
CD163	CD163 molecule
OR51E1	olfactory receptor, family 51, subfamily E, member 1
SEMA6B	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B
CHST3	carbohydrate (chondroitin 6) sulfotransferase 3
THBD	thrombomodulin
RNF122	ring finger protein 122
EDNRB	endothelin receptor type B
DLL4	delta-like 4 (Drosophila)
PIEZO2	family with sequence similarity 38, member B
ADGRE5	CD97 molecule
GPR4	G protein-coupled receptor 4
LPAR1	lysophosphatidic acid receptor 1
HAS1	hyaluronan synthase 1
CHSY1	chondroitin sulfate synthase 1
HLA-DRB5	major histocompatibility complex, class II, DR beta 5
IL1R2	interleukin 1 receptor, type II
MFSD2A	major facilitator superfamily domain containing 2
EVA1C	chromosome 21 open reading frame 63
REEP2	receptor accessory protein 2
SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3
TTYH3	tweety homolog 3 (Drosophila)
OSMR	oncostatin M receptor
SLC4A7	solute carrier family 4, sodium bicarbonate cotransporter, member 7
LILRA5	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5
SLC19A2	solute carrier family 19 (thiamine transporter), member 2
BTNL9	butyrophilin-like 9
ACKR3	chemokine (C-X-C motif) receptor 7
GPRC5A	G protein-coupled receptor, family C, group 5, member A
CA12	carbonic anhydrase XII

Gene Group 3	Enrichment Score:  4.477526673870534
ID	Gene Name
THBS4	thrombospondin 4
