Category	Count	%	Pvalue	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	Term	Genes
GOTERM_BP_FAT	51	10.493827160493826	9.916443689293563E-14	391	530	13528	3.3292863002461033	2.3219270950392001E-10	2.3219270950392001E-10	1.7359447213038948E-10	GO:0009611~response to wounding	PDPN, CCL13, TFRC, SERPINA3, SELE, CFB, IL18RAP, FN1, ACKR1, ITGA5, SPP1, TNFAIP6, MAP2K3, BDKRB2, SERPINE1, THBD, B4GALT1, PLAUR, PROCR, VCAN, SAA1, CCL21, KDM6B, S100A12, HBEGF, HIF1A, CHST3, PLAU, SLC11A1, HMOX1, CD163, CD14, CCR1, CD44, PDGFB, CTGF, F2RL3, IL6, F5, CD55, CD9, TNC, CCL2, LBP, ADGRE5, LYVE1, CR1, S1PR3, AOX1, CLU, CXCL2
GOTERM_CC_FAT	66	13.580246913580247	3.834655803725304E-11	366	960	12782	2.40099043715847	1.2616014233302053E-8	1.2616014233302053E-8	5.196313379585149E-8	GO:0044421~extracellular region part	CCL13, LIF, SELE, ADAMTS9, CD248, SMOC2, EGFLAM, LUM, IGFBP6, FN1, NTN1, CTHRC1, ANGPTL4, SPP1, STC1, WNT9A, BMP3, PLA2G2A, THBD, THBS4, TGFBI, EMILIN2, ADAMTS15, VCAN, SAA1, ADAMTS4, CCL21, HBEGF, ECM1, MMP19, SRGN, APOB, HMOX1, ADAMTS1, LTBP4, FGF18, SEMA3C, MMP2, MMP9, CD44, CTGF, SFRP4, F5, IL6, ENOX1, TNC, GPC1, MYOC, FSTL3, SPOCK2, CCL2, LBP, PRSS1, WNT2, ADGRE5, CRHBP, MFAP5, LDLR, FGL2, ICAM1, DKK3, MSR1, FJX1, CLU, CRISPLD2, CXCL2
GOTERM_BP_FAT	35	7.20164609053498	7.291155050938785E-11	391	325	13528	3.725988589415699	1.7075887226436492E-7	8.537943974040729E-8	1.2766847579115392E-7	GO:0006954~inflammatory response	PDPN, CCL13, TFRC, SERPINA3, SELE, SLC11A1, HMOX1, CFB, CD163, CD14, CCR1, IL18RAP, FN1, CD44, ACKR1, SPP1, IL6, CD55, TNFAIP6, MAP2K3, BDKRB2, CCL2, LBP, ADGRE5, B4GALT1, CR1, S1PR3, AOX1, SAA1, CLU, CXCL2, CCL21, KDM6B, S100A12, HIF1A
GOTERM_CC_FAT	104	21.39917695473251	5.802206754676462E-10	366	2010	12782	1.8069869233069624	1.908925754134927E-7	9.54462923141719E-8	7.862527739987968E-7	GO:0005576~extracellular region	TFRC, SERPINA3, SELE, CD248, EGFLAM, IGFBP6, FN1, APOL4, CTHRC1, ANGPTL4, IL1RL1, NRG2, BMP3, SERPINE1, LRG1, VASN, MUC1, B4GALT1, CBLN1, PLAUR, SAA1, ADAMTS4, CCL21, MFI2, SRGN, PLAU, CD163, ADAMTS1, CD14, AZGP1, CTSL, FGF18, CLEC3B, MMP2, PROK1, GPC1, FSTL3, SPOCK2, CCL2, XYLT1, SRPX2, CRHBP, LILRA5, FGL2, ICAM1, MSR1, FJX1, CXCL2, CCL13, LIF, FCAR, ADAMTS9, SMOC2, CFB, LUM, NTN1, SPP1, CYR61, STC1, WNT9A, APOLD1, DPP4, PLA2G2A, THBD, THBS4, TGFBI, ADAMTS15, EMILIN2, VCAN, IL4R, HBEGF, ECM1, SPX, MMP19, APOB, HMOX1, WISP2, LTBP4, DEFB132, MMP9, SEMA3C, CD44, PDGFB, CTGF, SFRP4, F2RL3, PLA1A, F5, IL6, ENOX1, TNC, GLIPR2, MYOC, METRNL, PAMR1, LBP, PRSS1, WNT2, ADGRE5, MFAP5, LDLR, DKK3, CLU, CRISPLD2
GOTERM_BP_FAT	28	5.761316872427984	3.859658630998046E-9	391	251	13528	3.85958977389674	9.039279587064186E-6	3.013102274462831E-6	6.758279180729687E-6	GO:0001944~vasculature development	PDPN, MMP19, PLAU, APOB, HMOX1, JUNB, FGF18, THY1, MMP2, SEMA3C, TNFRSF12A, CD44, MEOX2, ANGPTL4, CTGF, PROK1, CYR61, CITED2, DLL4, APOLD1, SHB, GJC1, B4GALT1, TIPARP, PRRX2, ANPEP, ZC3H12A, HIF1A
GOTERM_BP_FAT	25	5.1440329218107	9.686818036419193E-9	391	211	13528	4.099344250372723	2.268627056223327E-5	5.671615891267301E-6	1.6961660143088864E-5	GO:0048514~blood vessel morphogenesis	DLL4, APOLD1, MMP19, PLAU, APOB, HMOX1, SHB, JUNB, THY1, FGF18, GJC1, B4GALT1, SEMA3C, TNFRSF12A, TIPARP, MEOX2, CTGF, ANGPTL4, PRRX2, PROK1, CYR61, ANPEP, ZC3H12A, HIF1A, CITED2
GOTERM_BP_FAT	27	5.555555555555555	1.0080879125319756E-8	391	245	13528	3.8128921133670857	2.360914034471584E-5	4.721872660873316E-6	1.7651662809203827E-5	GO:0001568~blood vessel development	MMP19, PLAU, APOB, HMOX1, JUNB, FGF18, THY1, MMP2, SEMA3C, TNFRSF12A, CD44, MEOX2, ANGPTL4, CTGF, PROK1, CYR61, CITED2, DLL4, APOLD1, SHB, GJC1, B4GALT1, TIPARP, PRRX2, ANPEP, ZC3H12A, HIF1A
GOTERM_BP_FAT	45	9.25925925925926	2.306410023809098E-8	391	615	13528	2.531595034620423	5.401466441223857E-5	9.002646685352111E-6	4.038533449879367E-5	GO:0006952~defense response	PDPN, CCL13, TFRC, C5AR1, SERPINA3, SELE, SLC11A1, HMOX1, CFB, CD163, CD14, DEFB132, CCR1, IL18RAP, FN1, CD44, IL1R1, ACKR1, SPP1, IL6, IL1RL1, CD55, TNFAIP6, MAP2K3, COLEC12, CCL2, BDKRB2, LBP, FOSL1, ADGRE5, PLA2G2A, BCL3, B4GALT1, CR1, S1PR3, AOX1, LILRB5, SAA1, RSAD2, CLU, CXCL2, CCL21, KDM6B, S100A12, HIF1A
INTERPRO	12	2.4691358024691357	1.5829981204155868E-7	458	53	16659	8.23547828952789	1.3454579878302564E-4	1.3454579878302564E-4	2.449254631664566E-4	IPR004827:Basic-leucine zipper (bZIP) transcription factor	MAFF, CREB5, CEBPD, ATF3, JUND, FOSL1, NFIL3, BATF, BATF3, FOSL2, CREB3L2, JUNB
GOTERM_CC_FAT	30	6.172839506172839	1.961725681139728E-7	366	345	12782	3.0368258493703966	6.453869851708038E-5	2.1513362327141294E-5	2.658316930359561E-4	GO:0031012~extracellular matrix	ECM1, MMP19, ADAMTS9, CD248, SMOC2, EGFLAM, LTBP4, ADAMTS1, MMP9, MMP2, LUM, FN1, CD44, NTN1, CTHRC1, CTGF, ANGPTL4, WNT9A, TNC, GPC1, SPOCK2, WNT2, MFAP5, THBS4, TGFBI, ADAMTS15, EMILIN2, VCAN, ADAMTS4, CRISPLD2
GOTERM_CC_FAT	28	5.761316872427984	4.894628836050876E-7	366	320	12782	3.0558060109289618	1.6102036292986455E-4	4.025752166925134E-5	6.632655564886569E-4	GO:0005578~proteinaceous extracellular matrix	ECM1, MMP19, ADAMTS9, SMOC2, CD248, EGFLAM, LTBP4, ADAMTS1, MMP9, MMP2, LUM, FN1, NTN1, CTHRC1, ANGPTL4, CTGF, WNT9A, TNC, GPC1, SPOCK2, WNT2, MFAP5, THBS4, TGFBI, ADAMTS15, EMILIN2, VCAN, ADAMTS4
GOTERM_BP_FAT	49	10.08230452674897	6.604672054155837E-7	391	787	13528	2.154161128569432	0.0015456190045113338	2.2094911654635396E-4	0.0011564747139036768	GO:0042127~regulation of cell proliferation	PNP, ODC1, LIF, PTGES, CBLB, NAMPT, IGFBP6, EDNRB, NTN1, OSMR, PEMT, SPHK1, BDKRB2, SERPINE1, SERTAD1, PLA2G2A, TRIB1, B4GALT1, NKX3-1, CDKN1B, FOSL2, HBEGF, HIF1A, MYC, CCND2, PLAU, HMOX1, WISP2, ADAMTS1, AZGP1, FGF18, VDR, PDGFB, CCND1, PROK1, IL6, CDKN1A, CD9, KLF4, CCL2, ATF3, MSX1, WNT2, CD276, FOSL1, EMP3, S1PR3, PRRX2, CLU
GOTERM_BP_FAT	18	3.7037037037037033	1.2467525625919337E-6	391	148	13528	4.207921476463676	0.0029156375706629323	3.649204405684614E-4	0.00218304682395587	GO:0001525~angiogenesis	DLL4, APOLD1, MMP19, PLAU, HMOX1, SHB, FGF18, THY1, B4GALT1, TNFRSF12A, MEOX2, CTGF, ANGPTL4, PROK1, CYR61, ANPEP, ZC3H12A, HIF1A
GOTERM_CC_FAT	43	8.847736625514404	2.3066138230977856E-6	366	685	12782	2.192277930676878	7.585889488122E-4	1.5176384730275494E-4	0.003125630372280419	GO:0005615~extracellular space	CCL13, LIF, SRGN, SELE, APOB, HMOX1, FGF18, MMP9, SEMA3C, MMP2, IGFBP6, FN1, ANGPTL4, SFRP4, SPP1, STC1, IL6, F5, ENOX1, GPC1, MYOC, FSTL3, BMP3, CCL2, LBP, PRSS1, ADGRE5, CRHBP, PLA2G2A, THBD, LDLR, TGFBI, FGL2, ICAM1, DKK3, MSR1, SAA1, ADAMTS4, CLU, FJX1, CXCL2, CCL21, HBEGF
