Category	Count	%	Pvalue	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	Term	Genes
GOTERM_BP_FAT	51	10.493827160493826	9.916443689293563E-14	391	530	13528	3.3292863002461033	2.3219270950392001E-10	2.3219270950392001E-10	1.7359447213038948E-10	GO:0009611~response to wounding	ENSG00000162493, ENSG00000181374, ENSG00000072274, ENSG00000196136, ENSG00000007908, ENSG00000204359, ENSG00000115607, ENSG00000115414, ENSG00000213088, ENSG00000161638, ENSG00000118785, ENSG00000123610, ENSG00000034152, ENSG00000168398, ENSG00000106366, ENSG00000178726, ENSG00000086062, ENSG00000011422, ENSG00000101000, ENSG00000038427, ENSG00000173432, ENSG00000137077, ENSG00000132510, ENSG00000163221, ENSG00000113070, ENSG00000100644, ENSG00000122863, ENSG00000122861, ENSG00000018280, ENSG00000100292, ENSG00000177575, ENSG00000170458, ENSG00000163823, ENSG00000026508, ENSG00000100311, ENSG00000118523, ENSG00000127533, ENSG00000136244, ENSG00000198734, ENSG00000196352, ENSG00000010278, ENSG00000041982, ENSG00000108691, ENSG00000129988, ENSG00000123146, ENSG00000133800, ENSG00000203710, ENSG00000213694, ENSG00000138356, ENSG00000120885, ENSG00000081041
GOTERM_CC_FAT	66	13.580246913580247	3.834655803725304E-11	366	960	12782	2.40099043715847	1.2616014233302053E-8	1.2616014233302053E-8	5.196313379585149E-8	GO:0044421~extracellular region part	ENSG00000181374, ENSG00000128342, ENSG00000007908, ENSG00000163638, ENSG00000174807, ENSG00000112562, ENSG00000164318, ENSG00000139329, ENSG00000167779, ENSG00000115414, ENSG00000065320, ENSG00000164932, ENSG00000167772, ENSG00000118785, ENSG00000159167, ENSG00000143816, ENSG00000152785, ENSG00000188257, ENSG00000178726, ENSG00000113296, ENSG00000120708, ENSG00000132205, ENSG00000166106, ENSG00000038427, ENSG00000173432, ENSG00000158859, ENSG00000137077, ENSG00000113070, ENSG00000143369, ENSG00000123342, ENSG00000122862, ENSG00000084674, ENSG00000100292, ENSG00000154734, ENSG00000090006, ENSG00000156427, ENSG00000075223, ENSG00000087245, ENSG00000100985, ENSG00000026508, ENSG00000118523, ENSG00000106483, ENSG00000198734, ENSG00000136244, ENSG00000120658, ENSG00000041982, ENSG00000063660, ENSG00000034971, ENSG00000070404, ENSG00000107742, ENSG00000108691, ENSG00000129988, ENSG00000204983, ENSG00000105989, ENSG00000123146, ENSG00000145708, ENSG00000197614, ENSG00000130164, ENSG00000127951, ENSG00000090339, ENSG00000050165, ENSG00000038945, ENSG00000179431, ENSG00000120885, ENSG00000103196, ENSG00000081041
GOTERM_BP_FAT	35	7.20164609053498	7.291155050938785E-11	391	325	13528	3.725988589415699	1.7075887226436492E-7	8.537943974040729E-8	1.2766847579115392E-7	GO:0006954~inflammatory response	ENSG00000162493, ENSG00000181374, ENSG00000072274, ENSG00000196136, ENSG00000007908, ENSG00000018280, ENSG00000100292, ENSG00000204359, ENSG00000177575, ENSG00000170458, ENSG00000163823, ENSG00000115607, ENSG00000115414, ENSG00000026508, ENSG00000213088, ENSG00000118785, ENSG00000136244, ENSG00000196352, ENSG00000123610, ENSG00000034152, ENSG00000168398, ENSG00000108691, ENSG00000129988, ENSG00000123146, ENSG00000086062, ENSG00000203710, ENSG00000213694, ENSG00000138356, ENSG00000173432, ENSG00000120885, ENSG00000081041, ENSG00000137077, ENSG00000132510, ENSG00000163221, ENSG00000100644
GOTERM_CC_FAT	104	21.39917695473251	5.802206754676462E-10	366	2010	12782	1.8069869233069624	1.908925754134927E-7	9.54462923141719E-8	7.862527739987968E-7	GO:0005576~extracellular region	ENSG00000072274, ENSG00000196136, ENSG00000007908, ENSG00000174807, ENSG00000164318, ENSG00000167779, ENSG00000115414, ENSG00000100336, ENSG00000164932, ENSG00000167772, ENSG00000115602, ENSG00000158458, ENSG00000152785, ENSG00000106366, ENSG00000171236, ENSG00000168140, ENSG00000185499, ENSG00000086062, ENSG00000102924, ENSG00000011422, ENSG00000173432, ENSG00000158859, ENSG00000137077, ENSG00000163975, ENSG00000122862, ENSG00000122861, ENSG00000177575, ENSG00000154734, ENSG00000170458, ENSG00000160862, ENSG00000135047, ENSG00000156427, ENSG00000163815, ENSG00000087245, ENSG00000143125, ENSG00000063660, ENSG00000070404, ENSG00000107742, ENSG00000108691, ENSG00000103489, ENSG00000102359, ENSG00000145708, ENSG00000187116, ENSG00000127951, ENSG00000090339, ENSG00000038945, ENSG00000179431, ENSG00000081041, ENSG00000181374, ENSG00000128342, ENSG00000186431, ENSG00000163638, ENSG00000112562, ENSG00000204359, ENSG00000139329, ENSG00000065320, ENSG00000118785, ENSG00000142871, ENSG00000159167, ENSG00000143816, ENSG00000178878, ENSG00000197635, ENSG00000188257, ENSG00000178726, ENSG00000113296, ENSG00000120708, ENSG00000166106, ENSG00000132205, ENSG00000038427, ENSG00000077238, ENSG00000113070, ENSG00000143369, ENSG00000134548, ENSG00000123342, ENSG00000084674, ENSG00000100292, ENSG00000064205, ENSG00000090006, ENSG00000186458, ENSG00000100985, ENSG00000075223, ENSG00000026508, ENSG00000100311, ENSG00000118523, ENSG00000106483, ENSG00000127533, ENSG00000144837, ENSG00000198734, ENSG00000136244, ENSG00000120658, ENSG00000041982, ENSG00000122694, ENSG00000034971, ENSG00000176845, ENSG00000149090, ENSG00000129988, ENSG00000204983, ENSG00000105989, ENSG00000123146, ENSG00000197614, ENSG00000130164, ENSG00000050165, ENSG00000120885, ENSG00000103196
GOTERM_BP_FAT	28	5.761316872427984	3.859658630998046E-9	391	251	13528	3.85958977389674	9.039279587064186E-6	3.013102274462831E-6	6.758279180729687E-6	GO:0001944~vasculature development	ENSG00000162493, ENSG00000123342, ENSG00000122861, ENSG00000084674, ENSG00000100292, ENSG00000171223, ENSG00000156427, ENSG00000154096, ENSG00000087245, ENSG00000075223, ENSG00000006327, ENSG00000026508, ENSG00000106511, ENSG00000167772, ENSG00000118523, ENSG00000143125, ENSG00000142871, ENSG00000164442, ENSG00000128917, ENSG00000178878, ENSG00000107338, ENSG00000182963, ENSG00000086062, ENSG00000163659, ENSG00000167157, ENSG00000166825, ENSG00000163874, ENSG00000100644
GOTERM_BP_FAT	25	5.1440329218107	9.686818036419193E-9	391	211	13528	4.099344250372723	2.268627056223327E-5	5.671615891267301E-6	1.6961660143088864E-5	GO:0048514~blood vessel morphogenesis	ENSG00000128917, ENSG00000178878, ENSG00000123342, ENSG00000122861, ENSG00000084674, ENSG00000100292, ENSG00000107338, ENSG00000171223, ENSG00000154096, ENSG00000156427, ENSG00000182963, ENSG00000086062, ENSG00000075223, ENSG00000006327, ENSG00000163659, ENSG00000106511, ENSG00000118523, ENSG00000167772, ENSG00000167157, ENSG00000143125, ENSG00000142871, ENSG00000166825, ENSG00000163874, ENSG00000100644, ENSG00000164442
GOTERM_BP_FAT	27	5.555555555555555	1.0080879125319756E-8	391	245	13528	3.8128921133670857	2.360914034471584E-5	4.721872660873316E-6	1.7651662809203827E-5	GO:0001568~blood vessel development	ENSG00000123342, ENSG00000122861, ENSG00000084674, ENSG00000100292, ENSG00000171223, ENSG00000156427, ENSG00000154096, ENSG00000087245, ENSG00000075223, ENSG00000006327, ENSG00000026508, ENSG00000106511, ENSG00000167772, ENSG00000118523, ENSG00000143125, ENSG00000142871, ENSG00000164442, ENSG00000128917, ENSG00000178878, ENSG00000107338, ENSG00000182963, ENSG00000086062, ENSG00000163659, ENSG00000167157, ENSG00000166825, ENSG00000163874, ENSG00000100644
GOTERM_BP_FAT	45	9.25925925925926	2.306410023809098E-8	391	615	13528	2.531595034620423	5.401466441223857E-5	9.002646685352111E-6	4.038533449879367E-5	GO:0006952~defense response	ENSG00000162493, ENSG00000181374, ENSG00000072274, ENSG00000197405, ENSG00000196136, ENSG00000007908, ENSG00000018280, ENSG00000100292, ENSG00000204359, ENSG00000177575, ENSG00000170458, ENSG00000186458, ENSG00000163823, ENSG00000115607, ENSG00000115414, ENSG00000026508, ENSG00000115594, ENSG00000213088, ENSG00000118785, ENSG00000136244, ENSG00000115602, ENSG00000196352, ENSG00000123610, ENSG00000034152, ENSG00000158270, ENSG00000108691, ENSG00000168398, ENSG00000129988, ENSG00000175592, ENSG00000123146, ENSG00000188257, ENSG00000069399, ENSG00000086062, ENSG00000203710, ENSG00000213694, ENSG00000138356, ENSG00000105609, ENSG00000173432, ENSG00000134321, ENSG00000120885, ENSG00000081041, ENSG00000137077, ENSG00000132510, ENSG00000163221, ENSG00000100644
INTERPRO	12	2.4691358024691357	1.5829981204155868E-7	458	53	16659	8.23547828952789	1.3454579878302564E-4	1.3454579878302564E-4	2.449254631664566E-4	IPR004827:Basic-leucine zipper (bZIP) transcription factor	ENSG00000185022, ENSG00000146592, ENSG00000221869, ENSG00000162772, ENSG00000130522, ENSG00000175592, ENSG00000165030, ENSG00000156127, ENSG00000123685, ENSG00000075426, ENSG00000182158, ENSG00000171223
GOTERM_CC_FAT	30	6.172839506172839	1.961725681139728E-7	366	345	12782	3.0368258493703966	6.453869851708038E-5	2.1513362327141294E-5	2.658316930359561E-4	GO:0031012~extracellular matrix	ENSG00000143369, ENSG00000123342, ENSG00000163638, ENSG00000174807, ENSG00000112562, ENSG00000164318, ENSG00000090006, ENSG00000154734, ENSG00000100985, ENSG00000087245, ENSG00000139329, ENSG00000115414, ENSG00000026508, ENSG00000065320, ENSG00000164932, ENSG00000118523, ENSG00000167772, ENSG00000143816, ENSG00000041982, ENSG00000063660, ENSG00000107742, ENSG00000105989, ENSG00000197614, ENSG00000113296, ENSG00000120708, ENSG00000166106, ENSG00000132205, ENSG00000038427, ENSG00000158859, ENSG00000103196
