Gene	Ensembl
MT-TF	ENSG00000210049
MT-RNR1	ENSG00000211459
MT-TV	ENSG00000210077
MT-RNR2	ENSG00000210082
MT-TL1	ENSG00000209082
MT-ND1	ENSG00000198888
MT-TI	ENSG00000210100
MT-TQ	ENSG00000210107
MT-TM	ENSG00000210112
MT-ND2	ENSG00000198763
MT-TW	ENSG00000210117
MT-TA	ENSG00000210127
MT-TN	ENSG00000210135
MT-TC	ENSG00000210140
MT-TY	ENSG00000210144
MT-CO1	ENSG00000198804
MT-TS1	ENSG00000210151
MT-TD	ENSG00000210154
MT-CO2	ENSG00000198712
MT-TK	ENSG00000210156
MT-ATP8	ENSG00000228253
MT-ATP6	ENSG00000198899
MT-CO3	ENSG00000198938
MT-TG	ENSG00000210164
MT-ND3	ENSG00000198840
MT-TR	ENSG00000210174
MT-ND4L	ENSG00000212907
MT-ND4	ENSG00000198886
MT-TH	ENSG00000210176
MT-TS2	ENSG00000210184
MT-TL2	ENSG00000210191
MT-ND5	ENSG00000198786
MT-ND6	ENSG00000198695
MT-TE	ENSG00000210194
MT-CYB	ENSG00000198727
MT-TT	ENSG00000210195
MT-TP	ENSG00000210196
RP11-460H9.1	ENSG00000249883
C2orf76	ENSG00000186132
UQCRHP1	ENSG00000227650
ACTL10	ENSG00000182584
CEP135	ENSG00000174799
AC005609.2	ENSG00000248106
RP11-613M10.6	ENSG00000234160
GEMIN2P1	ENSG00000262767
NDUFB5P1	ENSG00000251025
MIIP	ENSG00000116691
RP11-578O24.2	ENSG00000254352
PRSS3P4	ENSG00000204982
RP11-98I9.4	ENSG00000228506
C20orf144	ENSG00000149609
RP11-485G7.6	ENSG00000262703
CCDC86	ENSG00000110104
AC004076.9	ENSG00000268163
TRIM6	ENSG00000121236
SBF1P1	ENSG00000248522
RP11-628E19.2	ENSG00000254357
NKD1	ENSG00000140807
AL772307.1	ENSG00000184961
GNL3	ENSG00000163938
ERICH6	ENSG00000163645
RP11-255A11.4	ENSG00000225123
SRGAP3-AS4	ENSG00000235830
RP11-201O14.2	ENSG00000232768
RP11-778D9.9	ENSG00000233576
RP11-362A9.3	ENSG00000243305
RPL31P59	ENSG00000240364
HYDIN2	ENSG00000276975
RP11-209M4.1	ENSG00000267253
RP11-999E24.3	ENSG00000259969
TM9SF1	ENSG00000100926
CEP70	ENSG00000114107
FAM187B2P	ENSG00000262497
RP11-416O18.2	ENSG00000240478
TRBV7-5	ENSG00000282709
RP11-306O13.1	ENSG00000213121
SLC25A6P3	ENSG00000232846
RP11-462G12.4	ENSG00000263159
ZNF225	ENSG00000256294
ALDH1L1	ENSG00000144908
SLC35G2	ENSG00000168917
USP31	ENSG00000103404
RP11-407N17.3	ENSG00000258941
RP11-365F18.6	ENSG00000271537
CTD-2014E2.7	ENSG00000278885
RNFT1P2	ENSG00000233333
BMPR1A	ENSG00000107779
NPIPB11	ENSG00000254206
RP11-167H9.5	ENSG00000241048
TIMP1	ENSG00000102265
CTC-398G3.6	ENSG00000267477
RILPL2	ENSG00000150977
MRPL36	ENSG00000171421
RPL7	ENSG00000147604
RP11-327O17.2	ENSG00000251171
CTB-31N19.4	ENSG00000271609
IL10RA	ENSG00000110324
NCKAP1	ENSG00000061676
RP11-190D6.2	ENSG00000260969
RNASEH2CP1	ENSG00000237659
RP11-217B7.2	ENSG00000226334
MTHFD2P1	ENSG00000244681
RP4-537K23.4	ENSG00000235189
MUTYH	ENSG00000132781
RFPL4AP3	ENSG00000251220
RP11-556H2.2	ENSG00000260511
POLR3KP1	ENSG00000232647
SNX31	ENSG00000174226
DPP10	ENSG00000175497
TNFAIP1	ENSG00000109079
CTD-2265O21.7	ENSG00000267735
RPL36AP35	ENSG00000231810
NPSR1	ENSG00000187258
RP11-283I3.2	ENSG00000256577
DNM1P30	ENSG00000260897
NUP54	ENSG00000138750
GUCY2EP	ENSG00000204529
RP11-42A4.1	ENSG00000248749
TRAV12-1	ENSG00000211785
GS1-388B5.2	ENSG00000243072
RP11-108K3.2	ENSG00000259306
HMCN2	ENSG00000148357
CTC-312O10.2	ENSG00000269385
CSMD3	ENSG00000164796
MYO19	ENSG00000278259
LINC01273	ENSG00000231742
NHEJ1	ENSG00000187736
RP11-158M2.2	ENSG00000259544
RP3-408N23.4	ENSG00000230769
PAOX	ENSG00000148832
CD99L2	ENSG00000102181
RP11-168C9.1	ENSG00000225424
RP11-216P6.2	ENSG00000275997
CTD-2007F2.1	ENSG00000276332
CRYM-AS1	ENSG00000189149
PI4KA	ENSG00000241973
C11orf49	ENSG00000149179
DAXX	ENSG00000231617
RPL7P4	ENSG00000230449
RP11-214K3.5	ENSG00000256827
RP11-281J9.1	ENSG00000261330
MGAT4EP	ENSG00000184774
C20orf196	ENSG00000171984
CTD-2284J15.1	ENSG00000254231
DISP1	ENSG00000154309
CTD-3074O7.2	ENSG00000250105
PGAM1P10	ENSG00000220515
MAGEB1	ENSG00000214107
DDT	ENSG00000275003
AC114730.2	ENSG00000235151
AC128677.3	ENSG00000235147
RP11-1059L18.1	ENSG00000253271
LINC01505	ENSG00000234229
VCP	ENSG00000165280
RP11-815J21.3	ENSG00000259276
SETDB1	ENSG00000143379
RP11-1060G2.1	ENSG00000257283
KRT18P7	ENSG00000258951
AC004754.3	ENSG00000269881
DCUN1D4	ENSG00000109184
MFSD2A	ENSG00000168389
RP11-611L7.2	ENSG00000198580
RWDD4P2	ENSG00000175741
RP11-632K21.7	ENSG00000271568
FANCD2	ENSG00000144554
CICP22	ENSG00000226220
NHLH1	ENSG00000171786
AC140725.4	ENSG00000259553
RP11-143E21.4	ENSG00000280405
CTNND2	ENSG00000169862
GS1-251I9.2	ENSG00000254219
RP13-297E16.4	ENSG00000223511
RP13-297E16.5	ENSG00000234622
FCER1G	ENSG00000158869
SDCBPP1	ENSG00000226705
CD1D	ENSG00000158473
RP11-15H20.6	ENSG00000213971
CH507-210P18.3	ENSG00000280172
PNPT1P1	ENSG00000229241
RP5-1112D6.7	ENSG00000271789
KRTAP1-5	ENSG00000261862
MDC1	ENSG00000231135
LINC01523	ENSG00000229522
GAPDHP61	ENSG00000248415
RP11-27M24.1	ENSG00000256013
RP11-135A24.4	ENSG00000233825
CTD-2588E21.1	ENSG00000277763
XXbac-BPG116M5.15	ENSG00000236587
RP11-6F2.3	ENSG00000239706
RP11-584P21.2	ENSG00000250075
MXRA8	ENSG00000162576
SULT1A2	ENSG00000197165
SNHG22	ENSG00000267322
GTPBP8	ENSG00000163607
CTC-204F22.1	ENSG00000279103
SOX1	ENSG00000182968
RP11-271F18.1	ENSG00000234306
DDX5	ENSG00000108654
FRG1FP	ENSG00000283047
RP4-620E11.5	ENSG00000229398
RP3-425C14.4	ENSG00000279453
KB-1125A3.12	ENSG00000279467
RP11-284P20.3	ENSG00000235533
C1QTNF1-AS1	ENSG00000265096
RP11-155D18.13	ENSG00000280422
C1orf137	ENSG00000203864
CTA-268H5.12	ENSG00000273353
U73166.2	ENSG00000230454
PIP4K2C	ENSG00000166908
TRAF3IP2-AS1	ENSG00000231889
TRY2P	ENSG00000282170
CTDSP1	ENSG00000144579
CTB-186G2.1	ENSG00000267291
AC092170.1	ENSG00000227291
CTA-992D9.8	ENSG00000280025
RP11-503C24.4	ENSG00000234647
FAM86MP	ENSG00000186234
IDO2	ENSG00000188676
LINC00583	ENSG00000205636
RP4-693M11.3	ENSG00000258660
CYP26B1	ENSG00000003137
MAP1LC3B	ENSG00000140941
GRK4	ENSG00000125388
CTD-3244O18.5	ENSG00000260445
CH17-224D4.2	ENSG00000282651
PRDX2P4	ENSG00000213177
C14orf169	ENSG00000170468
LINC00644	ENSG00000259142
GAPDHP69	ENSG00000223460
DCHS1	ENSG00000166341
TCEB1P4	ENSG00000232924
MSMP	ENSG00000215183
