Gene	Ensembl
mt-Tp	ENSMUSG00000064372
mt-Tt	ENSMUSG00000064371
mt-Cytb	ENSMUSG00000064370
mt-Te	ENSMUSG00000064369
mt-Nd6	ENSMUSG00000064368
mt-Nd5	ENSMUSG00000064367
mt-Tl2	ENSMUSG00000064366
mt-Ts2	ENSMUSG00000064365
mt-Th	ENSMUSG00000064364
mt-Nd4	ENSMUSG00000064363
mt-Nd4l	ENSMUSG00000065947
mt-Tr	ENSMUSG00000064361
mt-Nd3	ENSMUSG00000064360
mt-Tg	ENSMUSG00000064359
mt-Co3	ENSMUSG00000064358
mt-Atp6	ENSMUSG00000064357
mt-Atp8	ENSMUSG00000064356
mt-Tk	ENSMUSG00000064355
mt-Co2	ENSMUSG00000064354
mt-Td	ENSMUSG00000064353
mt-Ts1	ENSMUSG00000064352
mt-Co1	ENSMUSG00000064351
mt-Ty	ENSMUSG00000064350
mt-Tc	ENSMUSG00000064349
mt-Tn	ENSMUSG00000064348
mt-Ta	ENSMUSG00000064347
mt-Tw	ENSMUSG00000064346
mt-Nd2	ENSMUSG00000064345
mt-Tm	ENSMUSG00000064344
mt-Tq	ENSMUSG00000064343
mt-Ti	ENSMUSG00000064342
mt-Nd1	ENSMUSG00000064341
mt-Tl1	ENSMUSG00000064340
mt-Rnr2	ENSMUSG00000064339
mt-Tv	ENSMUSG00000064338
mt-Rnr1	ENSMUSG00000064337
mt-Tf	ENSMUSG00000064336
Gm22174	ENSMUSG00000096635
Olfr980	ENSMUSG00000060254
Gm26329	ENSMUSG00000070235
Gm10643	ENSMUSG00000074215
Gm22108	ENSMUSG00000095379
Gm23707	ENSMUSG00000077554
6030419C18Rik	ENSMUSG00000066607
4932415D10Rik	ENSMUSG00000044581
Gm25574	ENSMUSG00000092986
Mon1b	ENSMUSG00000078908
n-R5s70	ENSMUSG00000084599
Gm26558	ENSMUSG00000097025
Mir1912	ENSMUSG00000093039
Uchl4	ENSMUSG00000035337
Snord8	ENSMUSG00000093044
Gm8973	ENSMUSG00000064081
Gm27998	ENSMUSG00000098395
Gm27887	ENSMUSG00000098472
Cdyl2	ENSMUSG00000031758
Gm22493	ENSMUSG00000077682
Lysmd2	ENSMUSG00000032184
Gm25800	ENSMUSG00000064570
Gm25788	ENSMUSG00000064655
Gm22238	ENSMUSG00000092963
Gm22398	ENSMUSG00000095209
Gm23466	ENSMUSG00000087758
Gm25624	ENSMUSG00000087847
Gm25825	ENSMUSG00000087716
Gm26117	ENSMUSG00000093340
Gm24657	ENSMUSG00000094038
Zkscan7	ENSMUSG00000063488
Gm22711	ENSMUSG00000080540
Thumpd2	ENSMUSG00000024246
Gm23475	ENSMUSG00000089504
Gm26433	ENSMUSG00000094287
Gm44495	ENSMUSG00000105768
Mir6999	ENSMUSG00000098651
Gm22738	ENSMUSG00000065374
Mir494	ENSMUSG00000070141
Gm17728	ENSMUSG00000072968
Gm22491	ENSMUSG00000087815
Gm23691	ENSMUSG00000075826
Dnajb9	ENSMUSG00000014905
Gm22620	ENSMUSG00000064634
Gm27937	ENSMUSG00000098503
Mir669m-2	ENSMUSG00000088980
Gm6685	ENSMUSG00000032889
Gm23191	ENSMUSG00000096692
Gm44372	ENSMUSG00000105984
Mir143	ENSMUSG00000065445
Gm23451	ENSMUSG00000065262
Nts	ENSMUSG00000019890
Gm26101	ENSMUSG00000087871
Gm26217	ENSMUSG00000092953
Gm25838	ENSMUSG00000089545
Mir98	ENSMUSG00000065536
Gm24976	ENSMUSG00000089597
Gm27772	ENSMUSG00000099263
Gm24833	ENSMUSG00000080425
AC087559.2	ENSMUSG00000079773
Gm22890	ENSMUSG00000089267
Gm22113	ENSMUSG00000096774
Mir6938	ENSMUSG00000098263
Gm22826	ENSMUSG00000065708
Gm26323	ENSMUSG00000088368
Gm22246	ENSMUSG00000064412
Mirlet7a-1	ENSMUSG00000065421
Gm23417	ENSMUSG00000093266
Mir7234	ENSMUSG00000105381
Sgpp1	ENSMUSG00000021054
Gm26425	ENSMUSG00000084478
Mir742	ENSMUSG00000077092
Gm25200	ENSMUSG00000065028
Gm23566	ENSMUSG00000092648
Gm23589	ENSMUSG00000088285
Gm23844	ENSMUSG00000080609
Gm24805	ENSMUSG00000096704
Gm26225	ENSMUSG00000064442
Gm24495	ENSMUSG00000093958
n-R5s101	ENSMUSG00000095073
Ppp1ca	ENSMUSG00000040385
Gm27317	ENSMUSG00000098691
Gm23765	ENSMUSG00000087779
Gm25990	ENSMUSG00000076395
Gm26321	ENSMUSG00000088365
Mir1954	ENSMUSG00000093336
Gm24098	ENSMUSG00000096567
Gm27883	ENSMUSG00000099233
Rnu73b	ENSMUSG00000064390
Gm23460	ENSMUSG00000065192
Gm25649	ENSMUSG00000094096
Gm22870	ENSMUSG00000088126
Gm27403	ENSMUSG00000098795
Dsg3	ENSMUSG00000056632
Mir6909	ENSMUSG00000098414
Gm27335	ENSMUSG00000098725
Rin1	ENSMUSG00000024883
Mir692-3	ENSMUSG00000076033
Gm22536	ENSMUSG00000088796
Gm23931	ENSMUSG00000096298
Gm25665	ENSMUSG00000088320
Gm25630	ENSMUSG00000065934
Gm23787	ENSMUSG00000084487
Gm25602	ENSMUSG00000088987
1700001L19Rik	ENSMUSG00000021534
Mir5117	ENSMUSG00000065160
Gm26378	ENSMUSG00000095233
Rpl31-ps1	ENSMUSG00000066389
n-R5s164	ENSMUSG00000084613
Mir7660	ENSMUSG00000099163
Mir300	ENSMUSG00000098807
Gm27608	ENSMUSG00000099136
Gm9776	ENSMUSG00000042857
Gm26439	ENSMUSG00000064526
Mir5621	ENSMUSG00000093539
Mrps27	ENSMUSG00000041632
Gm24299	ENSMUSG00000088929
Mir7651	ENSMUSG00000098516
Gm21370	ENSMUSG00000095029
Gm25898	ENSMUSG00000088928
Gm27502	ENSMUSG00000099332
Rpl34-ps2	ENSMUSG00000061669
Gm27521	ENSMUSG00000098261
Gm25131	ENSMUSG00000064587
Flg	ENSMUSG00000102829
n-R5s3	ENSMUSG00000065813
AW549877	ENSMUSG00000041935
Snora81	ENSMUSG00000087935
Gm23382	ENSMUSG00000088303
Gm24696	ENSMUSG00000065812
Rpl21-ps4	ENSMUSG00000072714
Gm24035	ENSMUSG00000064801
Gm24262	ENSMUSG00000088056
Gm22729	ENSMUSG00000088713
Gm24409	ENSMUSG00000088506
Gm23795	ENSMUSG00000065940
A130057D12Rik	ENSMUSG00000097298
Gm22290	ENSMUSG00000094275
Gm24542	ENSMUSG00000077058
Gm3625	ENSMUSG00000091619
Mir7-2	ENSMUSG00000065609
Gm26040	ENSMUSG00000088772
4931406C07Rik	ENSMUSG00000031938
Gm24482	ENSMUSG00000080655
Gm27539	ENSMUSG00000099240
DQ267102	ENSMUSG00000064417
Mir466f-2	ENSMUSG00000077998
Gm22327	ENSMUSG00000089524
Mir6918	ENSMUSG00000098296
Gm26108	ENSMUSG00000065907
Gm22068	ENSMUSG00000096205
Gm25981	ENSMUSG00000088546
Gm23857	ENSMUSG00000089004
Mir7240	ENSMUSG00000099031
Gm23351	ENSMUSG00000089052
Rnu2-10	ENSMUSG00000065944
Gm22155	ENSMUSG00000065770
Ccdc66	ENSMUSG00000046753
Olfr829	ENSMUSG00000051414
Mir6359	ENSMUSG00000098676
Gm23305	ENSMUSG00000096185
Snhg7	ENSMUSG00000097052
Gm22618	ENSMUSG00000095857
Olfr934	ENSMUSG00000057424
AL593843.1	ENSMUSG00000106014
Gm23558	ENSMUSG00000088448
Mir682	ENSMUSG00000076236
Gm25826	ENSMUSG00000087715
Olfr965	ENSMUSG00000095839
Mir680-3	ENSMUSG00000076253
Gm27554	ENSMUSG00000099037
n-R5s6	ENSMUSG00000084612
Gm24895	ENSMUSG00000084691
Gm22032	ENSMUSG00000080596
Mir669l	ENSMUSG00000076959
Gm23796	ENSMUSG00000065945
Gm24103	ENSMUSG00000092671
Zbtb16	ENSMUSG00000066687
Mir7035	ENSMUSG00000099003
Gm23967	ENSMUSG00000094244
Gm27313	ENSMUSG00000098757
Gm22819	ENSMUSG00000088070
Gm44381	ENSMUSG00000104783
Mir6983	ENSMUSG00000098389
Psma8	ENSMUSG00000036743
Gm26100	ENSMUSG00000087870
Gm27361	ENSMUSG00000092818
Gm22717	ENSMUSG00000084652
Hacd3	ENSMUSG00000033629
n-R5s112	ENSMUSG00000095449
Gm27402	ENSMUSG00000098791
Fam35a	ENSMUSG00000041471
Gm44375	ENSMUSG00000106556
Gm26243	ENSMUSG00000095615
Gm23346	ENSMUSG00000065750
Gm44299	ENSMUSG00000105292
Gm27396	ENSMUSG00000088333
Gm10197	ENSMUSG00000067085
Mir6420	ENSMUSG00000098984
Gm25227	ENSMUSG00000088829
Rnu1a1	ENSMUSG00000095969
Gm22177	ENSMUSG00000092743
Gm8394	ENSMUSG00000050490
1600017P15Rik	ENSMUSG00000065361
Snord50b	ENSMUSG00000094179
Gm10337	ENSMUSG00000071586
Gm23117	ENSMUSG00000089107
Gm22202	ENSMUSG00000089233
Snord1b	ENSMUSG00000077604
A730071L15Rik	ENSMUSG00000096923
Mir7232	ENSMUSG00000106154
Gm22378	ENSMUSG00000088106
Cbx3-ps5	ENSMUSG00000096536
Gm25190	ENSMUSG00000093404
Gm27940	ENSMUSG00000099208
Mir378c	ENSMUSG00000099036
Gm23706	ENSMUSG00000077557
Gm44359	ENSMUSG00000105924
Gm23658	ENSMUSG00000095097
Fbxo38	ENSMUSG00000042211
Mir382	ENSMUSG00000065428
Gm22504	ENSMUSG00000064897
Gm24083	ENSMUSG00000092915
Gm23217	ENSMUSG00000095129
Mir7005	ENSMUSG00000098735
Gm24229	ENSMUSG00000089455
Gm24285	ENSMUSG00000088253
Gm23766	ENSMUSG00000077082
Mir6403	ENSMUSG00000099289
Gm25808	ENSMUSG00000084733
Gm25904	ENSMUSG00000089116
Gm25426	ENSMUSG00000088231
Gm22627	ENSMUSG00000094458
Gm24167	ENSMUSG00000094009
Gm27899	ENSMUSG00000099106
Gm26468	ENSMUSG00000089269
Gm22938	ENSMUSG00000077144
Gm23365	ENSMUSG00000092760
Gm27803	ENSMUSG00000099151
Lars	ENSMUSG00000024493
Gm23934	ENSMUSG00000096297
Mir669a-11	ENSMUSG00000106488
D630044L22Rik	ENSMUSG00000097405
Gm22030	ENSMUSG00000080592
Gm23918	ENSMUSG00000092994
Gm26485	ENSMUSG00000088644
Gm23467	ENSMUSG00000087752
Gm22989	ENSMUSG00000088938
Gm24532	ENSMUSG00000088576
Mir128-1	ENSMUSG00000065520
Gm5483	ENSMUSG00000079597
Mir6910	ENSMUSG00000098562
Mir467f	ENSMUSG00000080573
Mir219b	ENSMUSG00000105010
Gm24210	ENSMUSG00000088888
Gm25188	ENSMUSG00000065847
Gm23339	ENSMUSG00000089587
Gm24395	ENSMUSG00000088764
Gm22312	ENSMUSG00000088630
Efs	ENSMUSG00000022203
Gm22578	ENSMUSG00000065664
Mirlet7i	ENSMUSG00000065406
Mir7051	ENSMUSG00000099210
Gm25193	ENSMUSG00000093409
Gm23584	ENSMUSG00000088280
Gm25412	ENSMUSG00000096222
n-R5s166	ENSMUSG00000094823
Snora65	ENSMUSG00000065124
Gm27532	ENSMUSG00000098542
Mir3076	ENSMUSG00000093156
Gm26392	ENSMUSG00000094912
Gm22129	ENSMUSG00000096434
Gm23255	ENSMUSG00000076199
Mir7115	ENSMUSG00000099109
Gm27409	ENSMUSG00000098402
Gm23570	ENSMUSG00000096882
Zc3h3	ENSMUSG00000075600
Gm25847	ENSMUSG00000080443
Gm24175	ENSMUSG00000089556
AC163611.1	ENSMUSG00000094172
Gm25914	ENSMUSG00000088243
Mir22	ENSMUSG00000065529
Gm24801	ENSMUSG00000093822
Gm25805	ENSMUSG00000084737
Gm23633	ENSMUSG00000093034
Gm27299	ENSMUSG00000098618
Gm23538	ENSMUSG00000088160
Mtpap	ENSMUSG00000024234
Cyp4f39	ENSMUSG00000061126
Mir883b	ENSMUSG00000078024
Gm24070	ENSMUSG00000077707
Gm22474	ENSMUSG00000095740
Gm25502	ENSMUSG00000077616
Mir125b-1	ENSMUSG00000093354
Zfp955b	ENSMUSG00000096910
Gm25080	ENSMUSG00000064460
Gm44316	ENSMUSG00000106021
Gm25730	ENSMUSG00000095446
Gm23307	ENSMUSG00000096181
Esp18	ENSMUSG00000094024
Gm22263	ENSMUSG00000094139
Flywch1	ENSMUSG00000040097
Gm24773	ENSMUSG00000089138
Gm23604	ENSMUSG00000105754
Gm25583	ENSMUSG00000065347
Gm44496	ENSMUSG00000105626
Gm24514	ENSMUSG00000092702
Cyb5b	ENSMUSG00000031924
Gm26082	ENSMUSG00000077258
Gm25556	ENSMUSG00000088702
Gm25493	ENSMUSG00000088000
Mir1907	ENSMUSG00000084458
Gm24148	ENSMUSG00000064696
Mir470	ENSMUSG00000070073
Gm24766	ENSMUSG00000096274
Mir7007	ENSMUSG00000099105
Gm24626	ENSMUSG00000064555
Glt8d1	ENSMUSG00000021916
Smarcd1	ENSMUSG00000023018
Srfbp1	ENSMUSG00000024528
Iah1	ENSMUSG00000062054
Pmaip1	ENSMUSG00000024521
Tmem170	ENSMUSG00000031953
Gm10812	ENSMUSG00000075162
Adprh	ENSMUSG00000002844
Zfp955a	ENSMUSG00000094441
Gm10702	ENSMUSG00000074467
Rp1l1	ENSMUSG00000046049
Gm5965	ENSMUSG00000009047
Gtse1	ENSMUSG00000022385
Ccdc94	ENSMUSG00000003208
Tns2	ENSMUSG00000037003
Rltpr	ENSMUSG00000050357
Tsc2	ENSMUSG00000002496
Cacnb3	ENSMUSG00000003352
Ispd	ENSMUSG00000043153
Cd70	ENSMUSG00000019489
Ndc80	ENSMUSG00000024056
Rmdn2	ENSMUSG00000036368
Morn2	ENSMUSG00000045257
Btg1	ENSMUSG00000036478
Cdkl1	ENSMUSG00000020990
Espl1	ENSMUSG00000058290
Timm9	ENSMUSG00000021079
Slc26a10	ENSMUSG00000040441
Atp2c2	ENSMUSG00000034112
Tex21	ENSMUSG00000021056
Nampt	ENSMUSG00000020572
Rad9a	ENSMUSG00000024824
Fscb	ENSMUSG00000043060
Zfp839	ENSMUSG00000021271
Tjp2	ENSMUSG00000024812
Rbms2	ENSMUSG00000040043
Ccdc112	ENSMUSG00000071855
Mgea5	ENSMUSG00000025220
Sst	ENSMUSG00000004366
Tmem207	ENSMUSG00000091972
Mc2r	ENSMUSG00000045569
Cdk2	ENSMUSG00000025358
Sorcs3	ENSMUSG00000063434
Zbtb7c	ENSMUSG00000044646
Noxred1	ENSMUSG00000072919
Npy5r	ENSMUSG00000044014
Pdzd8	ENSMUSG00000074746
1110038F14Rik	ENSMUSG00000063236
Gm11011	ENSMUSG00000078912
Msantd4	ENSMUSG00000041124
Pnoc	ENSMUSG00000045731
Pkdrej	ENSMUSG00000052496
Kif20b	ENSMUSG00000024795
Map2k5	ENSMUSG00000058444
Gadd45b	ENSMUSG00000015312
Fbxl22	ENSMUSG00000050503
Topaz1	ENSMUSG00000094985
Ncoa1	ENSMUSG00000020647
Cxcr6	ENSMUSG00000048521
Gm6803	ENSMUSG00000096803
Gm17615	ENSMUSG00000090286
Gm7936	ENSMUSG00000055771
Ppp1r2-ps3	ENSMUSG00000058816
Gm21833	ENSMUSG00000094030
Gm9996	ENSMUSG00000056316
Adcy2	ENSMUSG00000021536
Gm10570	ENSMUSG00000073752
Gm26482	ENSMUSG00000088640
Gm27383	ENSMUSG00000099229
Gm25516	ENSMUSG00000065791
Clpp	ENSMUSG00000002660
Gm22680	ENSMUSG00000065782
Gm24419	ENSMUSG00000088500
Gm25448	ENSMUSG00000095825
Ap3m1-ps	ENSMUSG00000094683
Gm23994	ENSMUSG00000088684
n-R5s5	ENSMUSG00000065068
Gm25180	ENSMUSG00000088371
Fam84a	ENSMUSG00000020607
Gm24109	ENSMUSG00000093230
Gm24179	ENSMUSG00000089550
