ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
1110038F14Rik	1	0	0	0	0	0
1700017B05Rik	1	0	0	0	0	0
1700025G04Rik	1	0	0	0	0	0
2610002J02Rik	1	0	0	0	0	0
4930523C07Rik	1	0	0	0	0	0
5730559C18Rik	1	0	0	0	0	0
6330416G13Rik	1	0	0	0	0	0
9130401M01Rik	1	0	0	0	0	0
9430020K01Rik	1	0	0	0	0	0
A4galt	1	0	0	0	0	0
A630076J17Rik	1	0	0	0	0	0
Abca8b	1	0	0	0	0	0
Abhd13	1	0	0	0	0	0
Ackr3	1	0	0	0	0	0
Acox3	1	0	0	0	0	0
Actc1	1	0	0	0	0	0
Adck3	1	0	0	0	0	0
Adora1	1	0	0	0	0	0
Adss	1	0	0	0	0	0
Agpat3	1	0	0	0	0	0
Aldh3a2	1	0	0	0	0	0
Alkbh3	1	0	0	0	0	0
Ammecr1	1	0	0	0	0	0
Amn1	1	0	0	0	0	0
Amotl2	1	0	0	0	0	0
Ampd3	1	0	0	0	0	0
Ang	1	0	0	0	0	0
Ankrd1	1	0	0	0	0	0
Ankrd46	1	0	0	0	0	0
Ankrd50	1	0	0	0	0	0
Anxa11	1	0	0	0	0	0
Ap1ar	1	0	0	0	0	0
Apool	1	0	0	0	0	0
Arhgap12	1	0	0	0	0	0
Arhgap28	1	0	0	0	0	0
Arhgap29	1	0	0	0	0	0
Arhgef5	1	0	0	0	0	0
Arhgef7	1	0	0	0	0	0
Arid5b	1	0	0	0	0	0
Arl1	1	0	0	0	0	0
Arl4c	1	0	0	0	0	0
Arl5a	1	0	0	0	0	0
Arpp21	1	0	0	0	0	0
Arrb1	1	0	0	0	0	0
Asap1	1	0	0	0	0	0
Asb1	1	0	0	0	0	0
Asb2	1	0	0	0	0	0
Aspscr1	1	0	0	0	0	0
Atg101	1	0	0	0	0	0
Atg12	1	0	0	0	0	0
Atg4c	1	0	0	0	0	0
Atp1a1	1	0	0	0	0	0
Atp1b1	1	0	0	0	0	0
Atp8b2	1	0	0	0	0	0
Azi2	1	0	0	0	0	0
B4galt1	1	0	0	0	0	0
Bcl6	1	0	0	0	0	0
Bcor	1	0	0	0	0	0
Bik	1	0	0	0	0	0
Bod1	1	0	0	0	0	0
Bod1l	1	0	0	0	0	0
Btbd17	1	0	0	0	0	0
C1qtnf3	1	0	0	0	0	0
C1qtnf6	1	0	0	0	0	0
Caap1	1	0	0	0	0	0
Cab39	1	0	0	0	0	0
Cables1	1	0	0	0	0	0
Cables2	1	0	0	0	0	0
Cacng1	1	0	0	0	0	0
Calcoco1	1	0	0	0	0	0
Camk2a	1	0	0	0	0	0
Cand1	1	0	0	0	0	0
Capg	1	0	0	0	0	0
Casq2	1	0	0	0	0	0
Cat	1	0	0	0	0	0
