Gene Group 1	Enrichment Score:  11.796466369732563
ID	Gene Name
ENSG00000112562	SPARC related modular calcium binding 2
ENSG00000100336	apolipoprotein L, 4
ENSG00000050165	dickkopf homolog 3 (Xenopus laevis)
ENSG00000176845	meteorin, glial cell differentiation regulator-like; similar to meteorin, glial cell differentiation regulator-like
ENSG00000164932	collagen triple helix repeat containing 1
ENSG00000143369	extracellular matrix protein 1
ENSG00000034971	myocilin, trabecular meshwork inducible glucocorticoid response
ENSG00000107742	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2
ENSG00000106483	secreted frizzled-related protein 4
ENSG00000167772	angiopoietin-like 4
ENSG00000132205	elastin microfibril interfacer 2
ENSG00000070404	follistatin-like 3 (secreted glycoprotein)
ENSG00000186458	defensin, beta 132
ENSG00000145708	corticotropin releasing hormone binding protein
ENSG00000197614	microfibrillar associated protein 5
ENSG00000179431	four jointed box 1 (Drosophila)
ENSG00000159167	stanniocalcin 1
ENSG00000127951	fibrinogen-like 2

Gene Group 2	Enrichment Score:  6.844647234441989
ID	Gene Name
ENSG00000101187	solute carrier organic anion transporter family, member 4A1
ENSG00000183484	G protein-coupled receptor 132
ENSG00000176597	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5
ENSG00000206478, ENSG00000137331	immediate early response 3
ENSG00000168079	scavenger receptor class A, member 5 (putative)
ENSG00000158470	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5
ENSG00000115607	interleukin 18 receptor accessory protein
ENSG00000137507	leucine rich repeat containing 32
ENSG00000153707	protein tyrosine phosphatase, receptor type, D
ENSG00000188706	zinc finger, DHHC-type containing 9
ENSG00000115255	receptor accessory protein 6
ENSG00000137809	integrin, alpha 11
ENSG00000004939	solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)
ENSG00000115602	interleukin 1 receptor-like 1
ENSG00000127533	coagulation factor II (thrombin) receptor-like 3
ENSG00000163815	C-type lectin domain family 3, member B
ENSG00000174807	CD248 molecule, endosialin
ENSG00000161638	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)
ENSG00000162706	cell adhesion molecule 3
ENSG00000137491	solute carrier organic anion transporter family, member 2B1
ENSG00000186431	Fc fragment of IgA, receptor for
ENSG00000080493	solute carrier family 4, sodium bicarbonate cotransporter, member 4
ENSG00000163823	chemokine (C-C motif) receptor 1
ENSG00000188818	zinc finger, DHHC-type containing 11
ENSG00000182782	niacin receptor 2; niacin receptor 1
ENSG00000177363	LRRN4 C-terminal like
ENSG00000148841	inositol 1,4,5-triphosphate receptor interacting protein
ENSG00000103489	xylosyltransferase I
ENSG00000160862	alpha-2-glycoprotein 1, zinc-binding pseudogene 1; alpha-2-glycoprotein 1, zinc-binding
ENSG00000145685	lipoma HMGIC fusion partner-like 2
ENSG00000054967	RELT tumor necrosis factor receptor
ENSG00000019169	macrophage receptor with collagenous structure
ENSG00000134321	radical S-adenosyl methionine domain containing 2
ENSG00000105609	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5
ENSG00000158458	neuregulin 2
ENSG00000158270	collectin sub-family member 12
ENSG00000123610	tumor necrosis factor, alpha-induced protein 6
ENSG00000104635	solute carrier family 39 (zinc transporter), member 14
ENSG00000165323	FAT tumor suppressor homolog 3 (Drosophila)
ENSG00000213088	Duffy blood group, chemokine receptor
ENSG00000062716	transmembrane protein 49
ENSG00000154175	ABI family, member 3 (NESH) binding protein
ENSG00000197405	complement component 5a receptor 1
ENSG00000158683	polycystic kidney disease 1 like 1
ENSG00000038945	macrophage scavenger receptor 1
ENSG00000168140	vasorin
ENSG00000170961	hyaluronan synthase 2
ENSG00000154645	chondrolectin
ENSG00000111452	G protein-coupled receptor 133
ENSG00000171051	formyl peptide receptor 1
ENSG00000165272	aquaporin 3 (Gill blood group)
ENSG00000103257	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5
ENSG00000139514	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1
ENSG00000182885	G protein-coupled receptor 97
ENSG00000075223	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
ENSG00000144136	solute carrier family 20 (phosphate transporter), member 1
ENSG00000152207	cysteinyl leukotriene receptor 2
ENSG00000186407	CD300e molecule
ENSG00000113555	protocadherin 12
ENSG00000077616	N-acetylated alpha-linked acidic dipeptidase 2
ENSG00000168398	bradykinin receptor B2
ENSG00000179820	myeloid-associated differentiation marker
ENSG00000052749	ribosomal RNA processing 12 homolog (S. cerevisiae)
ENSG00000134531	epithelial membrane protein 1
ENSG00000188803	FLJ45455 protein
ENSG00000132334	protein tyrosine phosphatase, receptor type, E
ENSG00000173530	tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain
ENSG00000115226	fibronectin type III domain containing 4
ENSG00000184156	potassium voltage-gated channel, KQT-like subfamily, member 3
ENSG00000166473	polycystic kidney disease 1-like 2
ENSG00000134247	prostaglandin F2 receptor negative regulator
ENSG00000108829	leucine rich repeat containing 59
ENSG00000113070	heparin-binding EGF-like growth factor
ENSG00000133800	lymphatic vessel endothelial hyaluronan receptor 1
ENSG00000119514	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12)
ENSG00000103855	CD276 molecule
ENSG00000196396	protein tyrosine phosphatase, non-receptor type 1
ENSG00000196189	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A
ENSG00000213694	sphingosine-1-phosphate receptor 3
ENSG00000115594	interleukin 1 receptor, type I
ENSG00000188211	hypothetical protein DKFZp686O24166
ENSG00000142227	epithelial membrane protein 3
ENSG00000077238	interleukin 4 receptor
ENSG00000177098	sodium channel, voltage-gated, type IV, beta
ENSG00000141449	KIAA1772
ENSG00000168077	scavenger receptor class A, member 3
ENSG00000101000	protein C receptor, endothelial (EPCR)
ENSG00000177575	CD163 molecule
ENSG00000180785	olfactory receptor, family 51, subfamily E, member 1
ENSG00000167680	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B
ENSG00000122863	carbohydrate (chondroitin 6) sulfotransferase 3
ENSG00000178726	thrombomodulin
ENSG00000133874	ring finger protein 122
ENSG00000136160	endothelin receptor type B
ENSG00000128917	delta-like 4 (Drosophila)
