#gid	GOTERM_BP_FAT	GOTERM_CC_FAT	GOTERM_MF_FAT	INTERPRO	KEGG_PATHWAY
ELOVL6	GO:0046394~carboxylic acid biosynthetic process;GO:0016053~organic acid biosynthetic process	NA	NA	NA	NA
CEBPD	NA	NA	GO:0046983~protein dimerization activity;GO:0003700~transcription factor activity;GO:0043565~sequence-specific DNA binding	IPR004827:Basic-leucine zipper (bZIP) transcription factor	NA
KRT16	GO:0007010~cytoskeleton organization;GO:0008283~cell proliferation	NA	NA	NA	NA
MMP2	GO:0060325~face morphogenesis;GO:0044236~multicellular organismal metabolic process;GO:0060323~head morphogenesis;GO:0048705~skeletal system morphogenesis;GO:0001944~vasculature development;GO:0001666~response to hypoxia;GO:0001501~skeletal system development;GO:0032963~collagen metabolic process;GO:0060324~face development;GO:0070482~response to oxygen levels;GO:0001568~blood vessel development	GO:0005886~plasma membrane;GO:0005615~extracellular space;GO:0031012~extracellular matrix;GO:0005578~proteinaceous extracellular matrix;GO:0005576~extracellular region;GO:0044421~extracellular region part;GO:0030016~myofibril	GO:0005509~calcium ion binding	IPR006025:Peptidase M, neutral zinc metallopeptidases, zinc-binding site;IPR001818:Peptidase M10A and M12B, matrixin and adamalysin	NA
SH3PXD2B	GO:0045597~positive regulation of cell differentiation;GO:0051094~positive regulation of developmental process	NA	NA	NA	NA
WNT2	GO:0010033~response to organic substance;GO:0007010~cytoskeleton organization;GO:0043627~response to estrogen stimulus;GO:0048545~response to steroid hormone stimulus;GO:0051674~localization of cell;GO:0043254~regulation of protein complex assembly;GO:0006928~cell motion;GO:0051258~protein polymerization;GO:0048870~cell motility;GO:0008015~blood circulation;GO:0009725~response to hormone stimulus;GO:0016477~cell migration;GO:0042493~response to drug;GO:0003013~circulatory system process;GO:0008285~negative regulation of cell proliferation;GO:0009719~response to endogenous stimulus;GO:0042127~regulation of cell proliferation;GO:0032271~regulation of protein polymerization;GO:0032273~positive regulation of protein polymerization	GO:0031982~vesicle;GO:0031012~extracellular matrix;GO:0031410~cytoplasmic vesicle;GO:0045121~membrane raft;GO:0044433~cytoplasmic vesicle part;GO:0031988~membrane-bounded vesicle;GO:0005578~proteinaceous extracellular matrix;GO:0005576~extracellular region;GO:0016323~basolateral plasma membrane;GO:0044459~plasma membrane part;GO:0005886~plasma membrane;GO:0044421~extracellular region part;GO:0005625~soluble fraction;GO:0016023~cytoplasmic membrane-bounded vesicle	NA	NA	NA
ADAMTS4	GO:0001501~skeletal system development	GO:0005615~extracellular space;GO:0031012~extracellular matrix;GO:0005578~proteinaceous extracellular matrix;GO:0005576~extracellular region;GO:0044421~extracellular region part	NA	IPR010294:ADAM-TS Spacer 1;IPR006025:Peptidase M, neutral zinc metallopeptidases, zinc-binding site;IPR013273:Peptidase M12B, ADAM-TS;IPR000884:Thrombospondin, type 1 repeat	NA
NFIL3	GO:0048511~rhythmic process;GO:0006955~immune response	NA	GO:0046983~protein dimerization activity;GO:0003700~transcription factor activity;GO:0043565~sequence-specific DNA binding	IPR004827:Basic-leucine zipper (bZIP) transcription factor	NA
GADD45A	GO:0045859~regulation of protein kinase activity;GO:0007010~cytoskeleton organization;GO:0051329~interphase of mitotic cell cycle;GO:0051348~negative regulation of transferase activity;GO:0022403~cell cycle phase;GO:0042325~regulation of phosphorylation;GO:0000079~regulation of cyclin-dependent protein kinase activity;GO:0006469~negative regulation of protein kinase activity;GO:0051174~regulation of phosphorus metabolic process;GO:0006915~apoptosis;GO:0051338~regulation of transferase activity;GO:0051325~interphase;GO:0033673~negative regulation of kinase activity;GO:0051726~regulation of cell cycle;GO:0012501~programmed cell death;GO:0019220~regulation of phosphate metabolic process;GO:0008219~cell death;GO:0016265~death;GO:0043549~regulation of kinase activity	NA	NA	NA	hsa04115:p53 signaling pathway;hsa04010:MAPK signaling pathway
RGCC	GO:0045859~regulation of protein kinase activity;GO:0051726~regulation of cell cycle;GO:0051174~regulation of phosphorus metabolic process;GO:0051338~regulation of transferase activity;GO:0043549~regulation of kinase activity;GO:0042325~regulation of phosphorylation;GO:0019220~regulation of phosphate metabolic process;GO:0000079~regulation of cyclin-dependent protein kinase activity	NA	NA	NA	NA
PTGES	GO:0006690~icosanoid metabolic process;GO:0008285~negative regulation of cell proliferation;GO:0042127~regulation of cell proliferation	NA	NA	NA	NA
FN1	GO:0008360~regulation of cell shape;GO:0007155~cell adhesion;GO:0022604~regulation of cell morphogenesis;GO:0009611~response to wounding;GO:0051674~localization of cell;GO:0006953~acute-phase response;GO:0016477~cell migration;GO:0006952~defense response;GO:0042060~wound healing;GO:0006928~cell motion;GO:0002526~acute inflammatory response;GO:0034329~cell junction assembly;GO:0022610~biological adhesion;GO:0006954~inflammatory response;GO:0048870~cell motility	GO:0031410~cytoplasmic vesicle;GO:0005578~proteinaceous extracellular matrix;GO:0005576~extracellular region;GO:0031091~platelet alpha granule;GO:0031983~vesicle lumen;GO:0005615~extracellular space;GO:0005886~plasma membrane;GO:0044421~extracellular region part;GO:0016023~cytoplasmic membrane-bounded vesicle;GO:0060205~cytoplasmic membrane-bounded vesicle lumen;GO:0031093~platelet alpha granule lumen;GO:0031012~extracellular matrix;GO:0030141~secretory granule;GO:0031982~vesicle;GO:0031988~membrane-bounded vesicle;GO:0044433~cytoplasmic vesicle part;GO:0044459~plasma membrane part	GO:0005518~collagen binding;GO:0030246~carbohydrate binding;GO:0005539~glycosaminoglycan binding;GO:0008201~heparin binding;GO:0030247~polysaccharide binding;GO:0001871~pattern binding	IPR013032:EGF-like region, conserved site;IPR016060:Complement control module;IPR008957:Fibronectin, type III-like fold;IPR003961:Fibronectin, type III	hsa04512:ECM-receptor interaction
RRP12	NA	GO:0005730~nucleolus	NA	NA	NA
PFKP	NA	GO:0005625~soluble fraction	GO:0030246~carbohydrate binding	NA	NA
ITGA5	GO:0007155~cell adhesion;GO:0009611~response to wounding;GO:0007157~heterophilic cell adhesion;GO:0051674~localization of cell;GO:0016477~cell migration;GO:0042060~wound healing;GO:0006928~cell motion;GO:0034329~cell junction assembly;GO:0048870~cell motility;GO:0022610~biological adhesion	GO:0005886~plasma membrane;GO:0031226~intrinsic to plasma membrane;GO:0005887~integral to plasma membrane;GO:0009986~cell surface;GO:0016323~basolateral plasma membrane;GO:0044459~plasma membrane part	GO:0032403~protein complex binding;GO:0005178~integrin binding;GO:0005509~calcium ion binding	NA	hsa04512:ECM-receptor interaction;hsa04640:Hematopoietic cell lineage
MYOC	NA	GO:0005615~extracellular space;GO:0005576~extracellular region;GO:0044421~extracellular region part	NA	NA	NA
PADI4	NA	NA	GO:0005509~calcium ion binding	NA	NA
