#gid	GOTERM_BP_FAT	GOTERM_CC_FAT	GOTERM_MF_FAT	INTERPRO	KEGG_PATHWAY
ENSG00000170522	GO:0046394~carboxylic acid biosynthetic process;GO:0016053~organic acid biosynthetic process	NA	NA	NA	NA
ENSG00000221869	NA	NA	GO:0046983~protein dimerization activity;GO:0003700~transcription factor activity;GO:0043565~sequence-specific DNA binding	IPR004827:Basic-leucine zipper (bZIP) transcription factor	NA
ENSG00000186832	GO:0007010~cytoskeleton organization;GO:0008283~cell proliferation	NA	NA	NA	NA
ENSG00000087245	GO:0060325~face morphogenesis;GO:0044236~multicellular organismal metabolic process;GO:0060323~head morphogenesis;GO:0048705~skeletal system morphogenesis;GO:0001944~vasculature development;GO:0001666~response to hypoxia;GO:0001501~skeletal system development;GO:0032963~collagen metabolic process;GO:0060324~face development;GO:0070482~response to oxygen levels;GO:0001568~blood vessel development	GO:0005886~plasma membrane;GO:0005615~extracellular space;GO:0031012~extracellular matrix;GO:0005578~proteinaceous extracellular matrix;GO:0005576~extracellular region;GO:0044421~extracellular region part;GO:0030016~myofibril	GO:0005509~calcium ion binding	IPR006025:Peptidase M, neutral zinc metallopeptidases, zinc-binding site;IPR001818:Peptidase M10A and M12B, matrixin and adamalysin	NA
ENSG00000174705	GO:0045597~positive regulation of cell differentiation;GO:0051094~positive regulation of developmental process	NA	NA	NA	NA
ENSG00000105989	GO:0010033~response to organic substance;GO:0007010~cytoskeleton organization;GO:0043627~response to estrogen stimulus;GO:0048545~response to steroid hormone stimulus;GO:0051674~localization of cell;GO:0043254~regulation of protein complex assembly;GO:0006928~cell motion;GO:0051258~protein polymerization;GO:0048870~cell motility;GO:0008015~blood circulation;GO:0009725~response to hormone stimulus;GO:0016477~cell migration;GO:0042493~response to drug;GO:0003013~circulatory system process;GO:0008285~negative regulation of cell proliferation;GO:0009719~response to endogenous stimulus;GO:0042127~regulation of cell proliferation;GO:0032271~regulation of protein polymerization;GO:0032273~positive regulation of protein polymerization	GO:0031982~vesicle;GO:0031012~extracellular matrix;GO:0031410~cytoplasmic vesicle;GO:0045121~membrane raft;GO:0044433~cytoplasmic vesicle part;GO:0031988~membrane-bounded vesicle;GO:0005578~proteinaceous extracellular matrix;GO:0005576~extracellular region;GO:0016323~basolateral plasma membrane;GO:0044459~plasma membrane part;GO:0005886~plasma membrane;GO:0044421~extracellular region part;GO:0005625~soluble fraction;GO:0016023~cytoplasmic membrane-bounded vesicle	NA	NA	NA
ENSG00000158859	GO:0001501~skeletal system development	GO:0005615~extracellular space;GO:0031012~extracellular matrix;GO:0005578~proteinaceous extracellular matrix;GO:0005576~extracellular region;GO:0044421~extracellular region part	NA	IPR010294:ADAM-TS Spacer 1;IPR006025:Peptidase M, neutral zinc metallopeptidases, zinc-binding site;IPR013273:Peptidase M12B, ADAM-TS;IPR000884:Thrombospondin, type 1 repeat	NA
ENSG00000165030	GO:0048511~rhythmic process;GO:0006955~immune response	NA	GO:0046983~protein dimerization activity;GO:0003700~transcription factor activity;GO:0043565~sequence-specific DNA binding	IPR004827:Basic-leucine zipper (bZIP) transcription factor	NA
ENSG00000116717	GO:0045859~regulation of protein kinase activity;GO:0007010~cytoskeleton organization;GO:0051329~interphase of mitotic cell cycle;GO:0051348~negative regulation of transferase activity;GO:0022403~cell cycle phase;GO:0042325~regulation of phosphorylation;GO:0000079~regulation of cyclin-dependent protein kinase activity;GO:0006469~negative regulation of protein kinase activity;GO:0051174~regulation of phosphorus metabolic process;GO:0006915~apoptosis;GO:0051338~regulation of transferase activity;GO:0051325~interphase;GO:0033673~negative regulation of kinase activity;GO:0051726~regulation of cell cycle;GO:0012501~programmed cell death;GO:0019220~regulation of phosphate metabolic process;GO:0008219~cell death;GO:0016265~death;GO:0043549~regulation of kinase activity	NA	NA	NA	hsa04115:p53 signaling pathway;hsa04010:MAPK signaling pathway
ENSG00000102760	GO:0045859~regulation of protein kinase activity;GO:0051726~regulation of cell cycle;GO:0051174~regulation of phosphorus metabolic process;GO:0051338~regulation of transferase activity;GO:0043549~regulation of kinase activity;GO:0042325~regulation of phosphorylation;GO:0019220~regulation of phosphate metabolic process;GO:0000079~regulation of cyclin-dependent protein kinase activity	NA	NA	NA	NA
ENSG00000148344	GO:0006690~icosanoid metabolic process;GO:0008285~negative regulation of cell proliferation;GO:0042127~regulation of cell proliferation	NA	NA	NA	NA
